Model,Product Type,Category,Voice Remote Compatible,Voice Remote Pro Compatible,Apple AirPlay,Apple HomeKit,Min Roku OS AirPlay/HomeKit,4K Support,HDR Support,Dolby Vision Support,Bluetooth Audio Streaming,Bluetooth Headphone Mode,Ethernet Adapter Support,Apple TV Channel,Gaming Console Compatible,Google Assistant,Amazon Alexa,Netflix Games on TV,Ambient Light Sensor,Fast TV Start,HDMI-CEC Support,Compatible Ethernet Adapters,Wireless Speakers Compatible,Wireless Bass Compatible,Remote Finder Feature,Rechargeable Remote,Hands-Free Voice,Mobile App Compatible,Lost Remote Finder Button,Built-in Ethernet,WiFi Required,Power Requirements,Battery Powered,Charge Time,Battery Life,WiFi Type,Smart Home App Required,Pro Monitoring Available,Works with Roku TV Only,Max Range,Weatherproof Rating,Video Resolution,Night Vision,Two-Way Audio,Motion Detection,Sound Detection,Cloud Recording with Subscription,Smart Detection,Siren Feature,MicroSD Support
3840X,Roku Streaming Stick,Streaming Player,Yes,Yes,No,No,N/A,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,USB-C to Ethernet (10/100 Mbps),No,No,No,No,No,Yes,No,No,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
3830X,Roku Streaming Stick Plus,Streaming Player,Yes,Yes,No,No,N/A,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,USB-C to Ethernet (10/100 Mbps),No,No,No,No,No,Yes,No,No,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
3600,Roku Streaming Stick,Streaming Player,Yes,No,No,No,N/A,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
3800,Roku Streaming Stick,Streaming Player,Yes,No,No,No,N/A,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
3810,Roku Streaming Stick+,Streaming Player,Yes,Yes,Yes,Yes,9.4,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
3811,Roku Streaming Stick+,Streaming Player,Yes,Yes,Yes,Yes,9.4,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
3820,Roku Streaming Stick 4K,Streaming Player,Yes,Yes,Yes,Yes,9.4,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
3821,Roku Streaming Stick 4K+,Streaming Player,Yes,Yes,Yes,Yes,9.4,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
3900,Roku Express,Streaming Player,Yes,No,No,No,N/A,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
3930,Roku Express,Streaming Player,Yes,No,No,No,N/A,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
